Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,5-DCP",583-78-8,163,24.575,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
PFNA,375-95-1,464.08,9.864,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,12.108,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
Co,7646-79-9,129.84,21.95,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,611.9487401,uM
Zn,7446-20-0,287.56,19.558,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
TDCPP,13674-87-8,430.89,11.447,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
Cu,7758-99-8,249.69,0.431,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
Cd,10108-64-2,183.32,0.068,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
