Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,7.779,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
"2,4-DCP",120-83-2,163,21.736,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
"2,5-DCP",583-78-8,163,20.196,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
pPB,94-13-3,180.2,17.845,Unknown,Logistic,uM,114.4,-2.067,839.1,uM,742.3922623,uM
Triclosan,3380-34-5,289.54,0.333,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
TnBP,126-73-8,266.31,11.073,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TCPP,13674-84-5,327.57,11.63,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
TDCPP,13674-87-8,430.89,9.407,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
