Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,5-DCP",583-78-8,163,24.007,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
pPB,94-13-3,180.2,21.212,Unknown,Logistic,uM,114.4,-2.067,839.1,uM,742.3922623,uM
Sb,10025-91-9,228.12,5.451,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
PFOA,335-67-1,414.07,11.828,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
Triclosan,3380-34-5,289.54,0.396,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
Zn,7446-20-0,287.56,19.106,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
EHDPHP,1241-94-7,362.41,6.817,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TDCPP,13674-87-8,430.89,11.182,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
