Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
bPB,94-26-8,194.23,18.251,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
PFNA,375-95-1,464.08,11.666,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,14.319,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
BP-3,131-57-7,228.12,21.62,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
EHDPHP,1241-94-7,362.41,8.254,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TEHP,78-42-2,434.64,25.301,Unknown,Gompertz,uM,493.5401,1150.6876,1831.5536,uM,878.3767572,uM
Cu,7758-99-8,249.69,0.509,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
Cd,10108-64-2,183.32,0.08,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
