Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
Pb,7758-95-4,278.11,39.88,Unknown,Chapman,uM,83.3306,0.0023,3.9014,uM,917.0840972,uM
Cd,10108-64-2,183.32,0.088,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
Zn,7446-20-0,287.56,25.503,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
Hg,115-09-3,251.08,1.212,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
TBOEP,78-51-3,398.47,12.58,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,14.926,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
TEHP,78-42-2,434.64,5.811,Unknown,Gompertz,uM,493.5401,1150.6876,1831.5536,uM,878.3767572,uM
