Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFOA,335-67-1,414.07,15.307,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
"2,5-DCP",583-78-8,163,31.067,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
Triclosan,3380-34-5,289.54,0.513,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
TBOEP,78-51-3,398.47,12.197,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,14.471,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
Zn,7446-20-0,287.56,24.726,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
Cu,7758-99-8,249.69,0.544,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
Hg,115-09-3,251.08,1.175,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
