Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,4-DCP",120-83-2,163,31.493,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
Sb,10025-91-9,228.12,6.644,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
PFOA,335-67-1,414.07,14.416,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
BP-3,131-57-7,228.12,21.766,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
Triclosan,3380-34-5,289.54,0.483,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
TBOEP,78-51-3,398.47,11.488,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,13.629,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
Cd,10108-64-2,183.32,0.081,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
