Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,9.082,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
Pb,7758-95-4,278.11,29.343,Unknown,Chapman,uM,83.3306,0.0023,3.9014,uM,917.0840972,uM
PFNA,375-95-1,464.08,9.464,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
Co,7646-79-9,129.84,21.059,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,611.9487401,uM
TPhP,115-86-6,326.28,4.117,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
EHDPHP,1241-94-7,362.41,6.696,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,9.256,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,10.982,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
