Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,4-DCP",120-83-2,163,22.32,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
"2,5-DCP",583-78-8,163,20.738,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
Sb,10025-91-9,228.12,4.709,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
PFNA,375-95-1,464.08,8.324,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,10.217,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
BP-3,131-57-7,228.12,15.426,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
Ni,7718-54-9,129.6,14.506,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
TEHP,78-42-2,434.64,3.761,Unknown,Gompertz,uM,493.5401,1150.6876,1831.5536,uM,878.3767572,uM
