Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFNA,375-95-1,464.08,8.059,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,9.891,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
PFHxS,3871-99-6,438.2,7.733,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
"2,5-DCP",583-78-8,163,20.076,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
BP-3,131-57-7,228.12,14.934,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
Se,10102-18-8,172.94,0.277,Unknown,Gompertz,uM,102.1707,68.1542,61.6886,uM,84.5882425,uM
Ni,7718-54-9,129.6,14.043,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
Pb,88-85-7,278.11,24.986,Unknown,Chapman,uM,83.3306,0.0023,3.9014,uM,917.0840972,uM
