Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,14.622,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
Sb,10025-91-9,228.12,8.619,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
Triclosan,3380-34-5,289.54,0.627,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
Co,7646-79-9,129.84,33.906,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,611.9487401,uM
Ni,7718-54-9,129.6,26.553,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
TBOEP,78-51-3,398.47,14.903,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
Cu,7758-99-8,249.69,0.665,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
Cd,10108-64-2,183.32,0.105,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
