Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFNA,375-95-1,464.08,11.25,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,13.808,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
TnBP,126-73-8,266.31,15.367,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TCPP,13674-84-5,327.57,16.139,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
EHDPHP,1241-94-7,362.41,7.959,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,11.003,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TEHP,78-42-2,434.64,24.398,Unknown,Gompertz,uM,493.5401,1150.6876,1831.5536,uM,878.3767572,uM
Cd,10108-64-2,183.32,0.077,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
