Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFNA,375-95-1,464.08,7.133,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,8.755,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
PFHxS,3871-99-6,438.2,6.845,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
"2,4-DCP",120-83-2,163,19.125,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
"2,5-DCP",583-78-8,163,17.77,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
pPB,94-13-3,180.2,15.701,Unknown,Logistic,uM,114.4,-2.067,839.1,uM,742.3922623,uM
bPB,94-26-8,194.23,11.159,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
BP-3,131-57-7,228.12,13.218,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
Triclosan,3380-34-5,289.54,0.293,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
