Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
Sb,10025-91-9,228.12,6.922,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
Co,7646-79-9,129.84,27.23,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,611.9487401,uM
TnBP,126-73-8,266.31,16.716,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TPhP,115-86-6,326.28,5.324,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
TCPP,13674-84-5,327.57,17.556,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
TBOEP,78-51-3,398.47,11.969,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,14.2,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
Cd,10108-64-2,183.32,0.084,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
