Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,4-DCP",120-83-2,163,31.292,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
Cd,10108-64-2,183.32,0.08,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
Se,10102-18-8,172.94,0.401,Unknown,Gompertz,uM,102.1707,68.1542,61.6886,uM,84.5882425,uM
Zn,7446-20-0,287.56,23.139,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
Sb,10025-91-9,228.12,6.601,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
EHDPHP,1241-94-7,362.41,8.257,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,11.414,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,13.543,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
TEHP,78-42-2,434.64,5.272,Unknown,Gompertz,uM,493.5401,1150.6876,1831.5536,uM,878.3767572,uM
