Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,8.138,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
"2,5-DCP",583-78-8,163,21.128,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
Co,7646-79-9,129.84,18.871,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,611.9487401,uM
Zn,7446-20-0,287.56,16.815,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
TPhP,115-86-6,326.28,3.69,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
TCPP,13674-84-5,327.57,12.167,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
TEHP,78-42-2,434.64,18.392,Unknown,Gompertz,uM,493.5401,1150.6876,1831.5536,uM,878.3767572,uM
Hg,115-09-3,251.08,0.799,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
