Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,4-DCP",120-83-2,163,21.561,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
"2,5-DCP",583-78-8,163,20.033,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
PFNA,375-95-1,464.08,8.041,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
Zn,7446-20-0,287.56,15.944,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
TCPP,13674-84-5,327.57,11.536,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
EHDPHP,1241-94-7,362.41,5.689,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,7.865,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,9.331,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
