Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFOA,335-67-1,414.07,9.43,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
PFHxS,3871-99-6,438.2,7.373,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
Pb,7758-95-4,278.11,23.821,Unknown,Chapman,uM,83.3306,0.0023,3.9014,uM,917.0840972,uM
Hg,115-09-3,251.08,0.724,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
Zn,7446-20-0,287.56,15.233,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
TDCPP,13674-87-8,430.89,8.916,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
TPhP,115-86-6,326.28,3.343,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
"2,5-DCP",583-78-8,163,19.14,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
bPB,94-26-8,194.23,12.019,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
