Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,7.971,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
"2,4-DCP",120-83-2,163,22.273,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
pPB,94-13-3,180.2,18.285,Unknown,Logistic,uM,114.4,-2.067,839.1,uM,742.3922623,uM
Zn,7446-20-0,287.56,16.47,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
TnBP,126-73-8,266.31,11.347,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TPhP,115-86-6,326.28,3.614,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
TCPP,13674-84-5,327.57,11.917,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
TBOEP,78-51-3,398.47,8.124,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
