Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
bPB,94-26-8,194.23,28.905,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
Triclosan,3380-34-5,289.54,0.76,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
TnBP,126-73-8,266.31,25.238,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TPhP,115-86-6,326.28,8.038,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
EHDPHP,1241-94-7,362.41,13.071,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TDCPP,13674-87-8,430.89,21.44,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
Hg,115-09-3,251.08,1.741,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
Cu,7758-99-8,249.69,0.806,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
