Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFNA,375-95-1,464.08,14.62,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFHxS,3871-99-6,438.2,14.03,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
Co,7646-79-9,129.84,32.533,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,611.9487401,uM
Se,10102-18-8,172.94,0.503,Unknown,Gompertz,uM,102.1707,68.1542,61.6886,uM,84.5882425,uM
Hg,115-09-3,251.08,1.378,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
TnBP,126-73-8,266.31,19.971,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TDCPP,13674-87-8,430.89,16.966,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
