Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,8.223,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
"2,4-DCP",120-83-2,163,22.975,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
"2,5-DCP",583-78-8,163,21.347,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
bPB,94-26-8,194.23,13.405,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
BP-3,131-57-7,228.12,15.879,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
TPhP,115-86-6,326.28,3.728,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
EHDPHP,1241-94-7,362.41,6.062,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,8.381,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
