Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
Sb,10025-91-9,228.12,7.477,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
PFOA,335-67-1,414.07,16.224,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
BP-3,131-57-7,228.12,24.495,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
Triclosan,3380-34-5,289.54,0.544,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
Zn,7446-20-0,287.56,26.208,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
TnBP,126-73-8,266.31,18.056,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TPhP,115-86-6,326.28,5.751,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
Hg,115-09-3,251.08,1.246,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
