Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,10.321,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
Sb,10025-91-9,228.12,6.084,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
PFNA,375-95-1,464.08,10.756,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
Zn,7446-20-0,287.56,21.326,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
TnBP,126-73-8,266.31,14.692,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TDCPP,13674-87-8,430.89,12.481,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
TEHP,78-42-2,434.64,23.326,Unknown,Gompertz,uM,493.5401,1150.6876,1831.5536,uM,878.3767572,uM
Hg,115-09-3,251.08,1.014,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
