Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,8.371,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
"2,4-DCP",120-83-2,163,39.681,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
bPB,94-26-8,194.23,23.152,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
TnBP,126-73-8,266.31,20.215,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TPhP,115-86-6,326.28,6.438,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
Hg,115-09-3,251.08,1.395,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
Cu,7758-99-8,249.69,0.646,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
Cd,10108-64-2,183.32,0.102,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
