Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFNA,375-95-1,464.08,12.823,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,15.739,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
PFHxS,3871-99-6,438.2,12.305,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
Co,7646-79-9,129.84,28.533,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,611.9487401,uM
Cu,7758-99-8,249.69,0.56,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
Se,10102-18-8,172.94,0.441,Unknown,Gompertz,uM,102.1707,68.1542,61.6886,uM,84.5882425,uM
Sb,10025-91-9,228.12,7.253,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
Ni,7718-54-9,129.6,22.346,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
