Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFNA,375-95-1,464.08,14.45123118,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,17.73763027,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
PFHxS,3871-99-6,438.2,13.86768193,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
EHDPHP,1241-94-7,362.41,10.22412976,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,14.13408412,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,16.76941223,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
TEHP,78-42-2,434.64,6.528774821,Unknown,Gompertz,uM,493.5401,1150.6876,1831.5536,uM,878.3767572,uM
TPhP,115-86-6,326.28,6.287055688,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
