Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
bPB,94-26-8,194.23,14.511,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
"2,5-DCP",583-78-8,163,23.108,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
Triclosan,3380-34-5,289.54,0.382,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
TBOEP,78-51-3,398.47,9.072,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TCPP,13674-84-5,327.57,13.307,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
TEHP,78-42-2,434.64,4.191,Unknown,Gompertz,uM,493.5401,1150.6876,1831.5536,uM,878.3767572,uM
Zn,7446-20-0,287.56,18.391,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
Ni,7718-54-9,129.6,16.164,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
Hg,115-09-3,251.08,0.874,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
