Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,11.673,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
BP-3,131-57-7,228.12,22.543,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
Triclosan,3380-34-5,289.54,0.5,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
TnBP,126-73-8,266.31,16.616,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
EHDPHP,1241-94-7,362.41,8.606,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,11.898,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
Cd,10108-64-2,183.32,0.083,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
Sb,10025-91-9,228.12,6.881,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
Ni,7718-54-9,129.6,21.199,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
