Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,5-DCP",583-78-8,163,27.167,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
bPB,94-26-8,194.23,17.06,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
PFNA,375-95-1,464.08,10.905,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,13.385,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
Triclosan,3380-34-5,289.54,0.449,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
EHDPHP,1241-94-7,362.41,7.715,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,10.666,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,12.654,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
