Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,14.096,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
BP-3,131-57-7,228.12,27.221,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
Triclosan,3380-34-5,289.54,0.604,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
Ni,7718-54-9,129.6,25.597,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
TnBP,126-73-8,266.31,20.065,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
EHDPHP,1241-94-7,362.41,10.392,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
Hg,115-09-3,251.08,1.384,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
Cu,7758-99-8,249.69,0.641,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
