Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,4-DCP",120-83-2,163,19.05815449,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
"2,5-DCP",583-78-8,163,17.70730459,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
pPB,94-13-3,180.2,15.64619873,Unknown,Logistic,uM,114.4,-2.067,839.1,uM,742.3922623,uM
bPB,94-26-8,194.23,11.11952954,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
BP-3,131-57-7,228.12,13.1794551,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
Triclosan,3380-34-5,289.54,0.292367177,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
TnBP,126-73-8,266.31,9.708224104,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TPhP,115-86-6,326.28,3.092758421,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
TCPP,13674-84-5,327.57,10.19600785,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
