Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,9.486965714,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
"2,4-DCP",120-83-2,163,26.50783538,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
Sb,10025-91-9,228.12,5.592132135,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
Triclosan,3380-34-5,289.54,0.406651179,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
Zn,7446-20-0,287.56,19.60152121,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
Ni,7718-54-9,129.6,17.22802746,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
TCPP,13674-84-5,327.57,14.18274627,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
EHDPHP,1241-94-7,362.41,6.994120652,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
