Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,18.264,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
PFNA,375-95-1,464.08,19.033,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
Triclosan,3380-34-5,289.54,0.783,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
Ni,7718-54-9,129.6,33.167,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
TnBP,126-73-8,266.31,25.998,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
Hg,115-09-3,251.08,1.794,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
Cu,7758-99-8,249.69,0.831,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
Cd,10108-64-2,183.32,0.131,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
