Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,9.613,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
Sb,10025-91-9,228.12,5.666,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
PFOA,335-67-1,414.07,12.296,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
Zn,7446-20-0,287.56,19.862,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
Ni,7718-54-9,129.6,17.457,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
TnBP,126-73-8,266.31,13.684,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TBOEP,78-51-3,398.47,9.798,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,11.624,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
