Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,4-DCP",120-83-2,163,24.167,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
pPB,94-13-3,180.2,19.841,Unknown,Logistic,uM,114.4,-2.067,839.1,uM,742.3922623,uM
Sb,10025-91-9,228.12,5.098,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
TnBP,126-73-8,266.31,12.312,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TCPP,13674-84-5,327.57,12.93,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
EHDPHP,1241-94-7,362.41,6.377,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,8.815,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,10.459,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
