Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,4-DCP",120-83-2,163,20.881,Unknown,Chapman,uM,100,0.002948,4.825,uM,682.1579933,uM
Sb,10025-91-9,228.12,4.405,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
PFNA,375-95-1,464.08,7.788,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
PFOA,335-67-1,414.07,9.559,Unknown,Sigmoid,uM,98.5221,63.3066,288.4819,uM,290.3814285,uM
BP-3,131-57-7,228.12,14.432,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
Pb,7758-95-4,278.11,24.146,Unknown,Chapman,uM,83.3306,0.0023,3.9014,uM,917.0840972,uM
TCPP,13674-84-5,327.57,11.172,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
TBOEP,78-51-3,398.47,7.617,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
