Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
bPB,94-26-8,194.23,18.417,Unknown,Sigmoid,uM,99.22,70.05,345,uM,346.1514316,uM
Sb,10025-91-9,228.12,6.659,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
PFNA,375-95-1,464.08,11.772,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
BP-3,131-57-7,228.12,21.816,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
TnBP,126-73-8,266.31,16.081,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TBOEP,78-51-3,398.47,11.514,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,13.661,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
Cd,10108-64-2,183.32,0.081,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
