Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
"2,5-DCP",583-78-8,163,33.381,Unknown,Chapman,uM,114.7,0.001358,2.258,uM,867.7708058,uM
Triclosan,3380-34-5,289.54,0.551,Unknown,Logistic,uM,102,-1.624,19.77,uM,19.29163587,uM
Pb,7758-95-4,278.11,41.544,Unknown,Chapman,uM,83.3306,0.0023,3.9014,uM,917.0840972,uM
EHDPHP,1241-94-7,362.41,9.479,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TBOEP,78-51-3,398.47,13.105,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
Hg,115-09-3,251.08,1.263,Unknown,Logistic,uM,27675.7971,-1.8432,851.1101,uM,27.67911773,uM
Cu,7758-99-8,249.69,0.585,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
Cd,10108-64-2,183.32,0.092,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
