Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,8.98,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
PFNA,375-95-1,464.08,9.357,Unknown,Chapman,uM,98.92,0.02189,32.37,uM,176.7777063,uM
pPB,94-13-3,180.2,20.598,Unknown,Logistic,uM,114.4,-2.067,839.1,uM,742.3922623,uM
Zn,7446-20-0,287.56,18.553,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
Ni,7718-54-9,129.6,16.307,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
TCPP,13674-84-5,327.57,13.424,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
TnBP,126-73-8,266.31,12.782,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
