Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,8.903,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
Sb,10025-91-9,228.12,5.248,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
Co,7646-79-9,129.84,20.645,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,611.9487401,uM
Zn,7446-20-0,287.56,18.396,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
Ni,7718-54-9,129.6,16.168,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
TCPP,13674-84-5,327.57,13.31,Unknown,Sigmoid,uM,97.98,59.02,304.17,uM,306.6045767,uM
EHDPHP,1241-94-7,362.41,6.564,Unknown,Gompertz,uM,96.56,194.21,245.71,uM,326.9649439,uM
TDCPP,13674-87-8,430.89,10.766,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
