Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,12.254,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
Sb,10025-91-9,228.12,7.223,Unknown,Chapman,uM,104.9264,0.0051,1.9319,uM,225.7306143,uM
Zn,7446-20-0,287.56,25.319,Unknown,Chapman,uM,98.2868,0.0128,50.1565,uM,336.9029114,uM
Ni,7718-54-9,129.6,22.253,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
TPhP,115-86-6,326.28,5.556,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
TBOEP,78-51-3,398.47,12.489,Unknown,Sigmoid,uM,99.19,85.59,307.15,uM,308.5456629,uM
TDCPP,13674-87-8,430.89,14.818,Unknown,Logistic,uM,971.33,-1.12,8240.87,uM,617.7815531,uM
Cd,10108-64-2,183.32,0.088,Unknown,Logistic,uM,99.761,-1.1646,5.5365,uM,5.559344986,uM
