Substance,CAS NO,MW,percentage,Species,RM,Unit for RM,a,b,g,Coversion Unit,EC50,Unit for SCA
PFHxS,3871-99-6,438.2,6.89,Unknown,Chapman,uM,99.1,0.01031,6.501,uM,223.3542675,uM
BP-3,131-57-7,228.12,13.306,Unknown,Logistic,uM,76.13,-1.551,767.9,uM,1166.735793,uM
pPB,94-13-3,180.2,15.806,Unknown,Logistic,uM,114.4,-2.067,839.1,uM,742.3922623,uM
TnBP,126-73-8,266.31,9.808,Unknown,Sigmoid,uM,98.9,46.72,269.49,uM,270.533075,uM
TPhP,115-86-6,326.28,3.124,Unknown,Logistic,uM,87.47,-1.38,233.89,uM,288.0439624,uM
Pb,7758-95-4,278.11,22.263,Unknown,Chapman,uM,83.3306,0.0023,3.9014,uM,917.0840972,uM
Co,7646-79-9,129.84,15.977,Unknown,Chapman,uM,91.6305,0.0033,4.2342,uM,611.9487401,uM
Cu,7758-99-8,249.69,0.313,Unknown,Logistic,uM,107.3913,-0.8818,70.6785,uM,60.44881813,uM
Ni,7718-54-9,129.6,12.513,Unknown,Chapman,uM,85.1707,0.0083,11.5912,uM,372.4417018,uM
